request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_28,380.63,affordable_later,wait,2024-07-15:1302.4,2024-07-15,none,Wait until 2024-07-15; a full payment is not safe today but is forecast to be safe then.
request_29,22473.31,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_31,5103629.71,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,Wait until 2024-09-15; a full payment is not safe today but is forecast to be safe then.
request_32,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_33,46085.73,affordable_later,wait,2026-01-15:118000,2026-01-15,none,Wait until 2026-01-15; a full payment is not safe today but is forecast to be safe then.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_35,56708.16,affordable_later,wait,2025-12-15:212000,2025-12-15,none,Wait until 2025-12-15; a full payment is not safe today but is forecast to be safe then.
request_36,663.64,affordable_later,wait,2026-09-15:3954,2026-09-15,none,Wait until 2026-09-15; a full payment is not safe today but is forecast to be safe then.
request_37,6813645.37,affordable_later,wait,2024-03-15:14649000,2024-03-15,none,Wait until 2024-03-15; a full payment is not safe today but is forecast to be safe then.
request_38,222.33,affordable_later,wait,2025-09-15:971.3,2025-09-15,none,Wait until 2025-09-15; a full payment is not safe today but is forecast to be safe then.
request_39,84140.95,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Wait until 2026-04-15; a full payment is not safe today but is forecast to be safe then.
request_40,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_41,13768111.07,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,Wait until 2025-11-15; a full payment is not safe today but is forecast to be safe then.
